"","POINT_X","POINT_Y","Subplot"
"1",1,0,4
"2",1,25,4
"3",26,0,4
"4",26,25,4
"5",26,0,8
"6",26,25,8
"7",51,0,8
"8",51,25,8
"9",51,0,12
"10",51,25,12
"11",76,0,12
"12",76,25,12
"13",76,0,16
"14",76,25,16
"15",101,0,16
"16",101,25,16
"17",1,25,3
"18",1,50,3
"19",26,25,3
"20",26,50,3
"21",26,25,7
"22",26,50,7
"23",51,25,7
"24",51,50,7
"25",51,25,11
"26",51,50,11
"27",76,25,11
"28",76,50,11
"29",76,25,15
"30",76,50,15
"31",101,25,15
"32",101,50,15
"33",1,50,2
"34",1,75,2
"35",26,50,2
"36",26,75,2
"37",26,50,6
"38",26,75,6
"39",51,50,6
"40",51,75,6
"41",51,50,10
"42",51,75,10
"43",76,50,10
"44",76,75,10
"45",76,50,14
"46",76,75,14
"47",101,50,14
"48",101,75,14
"49",1,75,1
"50",1,100,1
"51",26,75,1
"52",26,100,1
"53",26,75,5
"54",26,100,5
"55",51,75,5
"56",51,100,5
"57",51,75,9
"58",51,100,9
"59",76,75,9
"60",76,100,9
"61",76,75,13
"62",76,100,13
"63",101,75,13
"64",101,100,13
